id,name,weight,height,image,base_hp,base_attack,base_defense,base_special_defense,base_speed,base_special_attack,base_stat_total
1,bulbasaur,69,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,45,49,49,65,45,65,318
2,ivysaur,130,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,60,62,63,80,60,80,405
3,venusaur,1000,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,80,82,83,100,80,100,525
4,charmander,85,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,39,52,43,50,65,60,309
5,charmeleon,190,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,58,64,58,65,80,80,405
6,charizard,905,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,78,84,78,85,100,109,534
7,squirtle,90,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,44,48,65,64,43,50,314
8,wartortle,225,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,59,63,80,80,58,65,405
9,blastoise,855,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,79,83,100,105,78,85,530
10,caterpie,29,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,45,30,35,20,45,20,195
11,metapod,99,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,50,20,55,25,30,25,205
12,butterfree,320,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,60,45,50,80,70,90,395
13,weedle,32,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,40,35,30,20,50,20,195
